date_open,date_close,direction,pnl,pnl_comm,size,price_open,price_close
2024-10-03,2024-10-04,long,600.0,550.7,0,24950.0,
2024-10-03,2024-10-04,short,-150.0,-217.25,0,33550.0,
2024-12-26,2024-12-31,long,150.0,101.15,0,24500.0,
2024-12-26,2024-12-31,short,-1100.0,-1174.0,0,36450.0,
