Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
7/16/2015,28.7819767,28.79541758,28.52217606,28.60952299,144889600
7/17/2015,29.0305748,29.0305748,28.73717884,28.90963423,184658800
7/20/2015,29.57930946,29.7808783,29.27247249,29.33294451,235600800
7/21/2015,29.28365898,29.76966653,29.1873549,29.75399063,307025600
7/22/2015,28.04513359,28.10784405,27.3217198,27.3217198,461802400
7/23/2015,28.0316906,28.46394496,28.00929255,28.26461461,203998000
7/24/2015,27.88386917,28.16158755,27.74948942,28.0675219,168649200
7/27/2015,27.49640846,27.6845415,27.35083138,27.56807778,177822000
7/28/2015,27.6330204,27.75172423,27.44712927,27.6330204,134472400
7/29/2015,27.545681,27.65990457,27.3844246,27.58151651,148046800
7/30/2015,27.4068222,27.45161489,27.25900327,27.39562318,134513200
7/31/2015,27.16717911,27.46729386,27.07983217,27.45833498,171540000
8/3/2015,26.52663803,27.45162064,26.3205872,27.21197614,279904000
8/4/2015,25.67555809,26.36089607,25.36424432,26.29818562,496554400
8/5/2015,25.8457737,26.30266626,25.10668244,25.29705391,397250400
8/6/2015,25.9020195,26.21024358,25.6747903,26.09100412,211612000
8/7/2015,25.98975563,26.15399221,25.7602762,25.77827505,154681600
8/10/2015,26.93468094,26.99542495,26.21699219,26.21699219,219806400
8/11/2015,25.53305435,26.58821419,25.49705834,26.50497072,388331200
8/12/2015,25.92677307,25.96726966,24.66463132,25.31707563,404870000
8/13/2015,25.90652275,26.18774857,25.76928441,26.1067554,194143200
8/14/2015,26.08875084,26.16749371,25.65003934,25.71978278,171718000
8/17/2015,26.35872269,26.46896268,25.98525414,26.10674385,163538800
8/18/2015,26.2102356,26.42171787,26.0999956,26.19448702,138242800
8/19/2015,25.8750267,26.21474627,25.80078267,26.1202548,193146000
8/20/2015,25.34406662,25.72653298,25.11458543,25.66578897,274006400
8/21/2015,23.79394913,25.1753299,23.76920112,24.84460813,513102000
8/24/2015,23.19999886,24.47788866,20.6982141,21.343909,648825200
8/25/2015,23.33948898,24.99759677,23.28549412,24.99759677,414406400
8/26/2015,24.67811775,24.72311318,23.63420811,24.09316693,387098400
8/27/2015,25.40480804,25.47680177,24.75236398,25.2495726,338464400
8/28/2015,25.48805237,25.49255122,25.09433632,25.23607348,212657600
8/31/2015,25.36881447,25.7670294,25.19782872,25.20457787,224917200
9/1/2015,24.23491096,25.17082939,24.15391781,24.7816139,307383600
9/2/2015,25.2743206,25.2743206,24.55213306,24.7996131,247555200
9/3/2015,24.83111382,25.37331626,24.75686979,25.30807167,212935600
9/4/2015,24.5836277,24.84910486,24.41264369,24.51613456,199985200
9/8/2015,25.26756859,25.32381373,24.81985771,25.14158001,219374400
9/9/2015,24.7816143,25.65228816,24.69612057,25.59379444,340043200
9/10/2015,25.32607651,25.48581259,24.72537847,24.80862023,251571200
9/11/2015,25.69503975,25.69503975,25.14383784,25.15058699,199662000
9/14/2015,25.9425106,26.29798034,25.84127003,26.22823691,233453600
9/15/2015,26.16074944,26.2169946,25.74228529,26.08200655,173364800
9/16/2015,26.189991,26.21923786,25.97175955,26.15399328,148694000
9/17/2015,25.62978745,26.20798747,25.58479202,26.02125489,256450400
9/18/2015,25.52405167,25.71528657,25.16858358,25.24507617,297141200
9/21/2015,25.92000961,25.95600733,25.57129078,25.57353935,200888000
9/22/2015,25.51280212,25.68828673,25.31481808,25.50830155,201384800
9/23/2015,25.71978378,25.80977637,25.49030431,25.56454661,143026800
9/24/2015,25.8727684,25.9852587,25.28107006,25.47905236,200878000
9/25/2015,25.80752373,26.25298606,25.65228657,26.19674091,224607600
9/28/2015,25.29681396,25.77602193,25.29681396,25.61403565,208436000
9/29/2015,24.53638649,25.5375513,24.26641043,25.38456441,293461600
9/30/2015,24.81535912,25.09433456,24.46213967,24.78611054,265892000
10/1/2015,24.65337753,24.66237696,24.14267055,24.53863693,255716400
10/2/2015,24.83335686,24.97509573,24.19666309,24.30015396,232079200
10/5/2015,24.92335129,25.05609074,24.53863466,24.7208684,208258800
10/6/2015,25.04258537,25.13932708,24.69611511,24.88959852,192787200
10/7/2015,24.92335129,25.14608161,24.61512896,25.13933246,187062400
10/8/2015,24.63537216,24.7906093,24.34514702,24.7906093,247918400
10/9/2015,25.22483444,25.26083046,24.63313416,24.74787478,211064400
10/12/2015,25.10783768,25.36656574,25.07184167,25.36206688,121868800
10/13/2015,25.15058136,25.29906766,24.90085276,24.9323499,132197200
10/14/2015,24.7951107,25.08983473,24.64887298,25.03809015,177849600
10/15/2015,25.16632843,25.22032329,24.85810441,24.95709642,150694000
10/16/2015,24.98184776,25.19782895,24.86710717,25.14833294,156930400
10/19/2015,25.13708115,25.14158,24.77261199,24.92784914,119036800
10/20/2015,25.59603882,25.68603139,24.93234682,25.04933596,195871200
10/21/2015,25.59379387,26.0032585,25.58029387,25.64778873,167180800
10/22/2015,25.9852562,25.9852562,25.67028305,25.72202934,166616400
10/23/2015,26.79068565,26.82443308,26.17198911,26.25523082,237467600
10/26/2015,25.93577003,26.57696457,25.85477686,26.56571657,265335200
10/27/2015,25.77152824,26.21923915,25.64553794,25.96276141,279537600
10/28/2015,26.83344269,26.84019355,26.11125497,26.30698877,342205600
10/29/2015,27.11691475,27.15291247,26.60845805,26.70519979,204909200
10/30/2015,26.88518524,27.2721522,26.87393552,27.2204059,197461200
11/2/2015,27.26314926,27.30364584,26.90992979,27.17765725,128813200
11/3/2015,27.57587242,27.78285416,27.15515808,27.17540722,182076000
11/4/2015,27.44763947,27.85710418,27.36214744,27.70186698,179544400
11/5/2015,27.32110977,27.72103106,27.15391193,27.53123747,158210800
11/6/2015,27.35273552,27.52219324,27.25332149,27.36403339,132169200
11/9/2015,27.24202156,27.52219116,27.12453164,27.33013943,135485600
11/10/2015,26.38344383,26.67717132,26.22302402,26.41281762,236511600
11/11/2015,26.23431587,26.53030149,26.03096625,26.2930617,180872000
11/12/2015,26.14619064,26.39472823,26.13037466,26.26820038,130102400
11/13/2015,25.38250542,26.11230407,25.36668943,26.02870431,183249600
11/16/2015,25.79824066,25.81179673,25.07973994,25.16559788,152426800
11/17/2015,25.68753242,25.99481591,25.60393266,25.96544213,110467600
11/18/2015,26.50092888,26.54611692,26.09648957,26.1552354,186698800
11/19/2015,26.83758736,27.05675298,26.38118193,26.58001172,173183200
11/20/2015,26.95508003,27.095164,26.85340435,26.93248429,137148400
11/23/2015,26.60486603,27.05223523,26.5122283,26.94829963,129930000
11/24/2015,26.86018372,26.96637752,26.46252409,26.50997205,171212800
11/25/2015,26.66813278,26.93926624,26.64327884,26.9347464,85553200
11/27/2015,26.61841393,26.75398146,26.57096598,26.72686761,52185600
11/30/2015,26.72913742,26.97993504,26.60486771,26.65909371,156721200
12/1/2015,26.51222229,26.84435967,26.40377032,26.83080361,139409600
12/2/2015,26.27272987,26.68620721,26.22754183,26.51222961,133546400
12/3/2015,26.02871323,26.3879646,25.80728937,26.3337386,166278000
12/4/2015,26.89407349,26.94378137,26.00837476,26.04904468,231108000
12/7/2015,26.724617,27.08160842,26.6184232,26.88277861,128336800
12/8/2015,26.71331787,26.79691592,26.40377446,26.55289637,137238000
12/9/2015,26.12360573,26.59130902,26.00159595,26.58001115,185445600
12/10/2015,26.24786949,26.42184704,26.0987476,26.21849744,116850800
12/11/2015,25.57229996,26.07163517,25.49773815,26.02644713,187544800
12/14/2015,25.4141407,25.45932874,24.80635177,25.34635692,257274800
12/15/2015,24.96450996,25.4864409,24.932878,25.29212925,213292400
12/16/2015,25.15656471,25.30342843,24.58266937,25.09556069,224954000
12/17/2015,24.62333488,25.36216972,24.62333488,25.31020193,179091200
12/18/2015,23.95681,24.74535302,23.90710211,24.60752895,385813200
12/21/2015,24.25053024,24.25956819,23.85286897,24.23923237,190362400
12/22/2015,24.22793388,24.33864577,24.05169642,24.26634388,131157600
12/23/2015,24.53974342,24.59396942,24.221162,24.23697799,130629600
12/24/2015,24.40869141,24.62785702,24.3906155,24.62785702,54281600
12/28/2015,24.13529778,24.33186935,23.99069399,24.30927361,106816800
12/29/2015,24.56911087,24.72501253,24.14433745,24.16693147,123724800
12/30/2015,24.24827194,24.56007355,24.21663997,24.53296142,100855200
12/31/2015,23.78282738,24.18274685,23.68341163,24.17822874,163649200
1/4/2016,23.80316353,23.80768337,23.04625263,23.1840784,270597600
1/5/2016,23.20667458,23.91613758,23.13889251,23.89354355,223164000
1/6/2016,22.75252724,23.12985448,22.5649953,22.72089526,273829600
1/7/2016,21.79226685,22.62373964,21.78774873,22.296122,324377600
1/8/2016,21.90749359,22.39327273,21.86230556,22.26674485,283192000
1/11/2016,22.26222801,22.38197787,21.99335451,22.36164377,198957600
1/12/2016,22.58532524,22.75026485,22.33226775,22.71863288,196616800
1/13/2016,22.00465012,22.8632366,21.98431602,22.66666502,249758400
1/14/2016,22.48591423,22.70282168,21.6318474,22.13344264,252680400
1/15/2016,21.94590378,22.07695149,21.54598432,21.73577614,319335600
1/19/2016,21.83971786,22.28934532,21.57762236,22.23511932,212350800
1/20/2016,21.86908722,22.18540869,21.10765646,21.48724188,289337600
1/21/2016,21.75836945,22.11535902,21.45108601,21.93008534,208646000
1/22/2016,22.915205,22.92424295,22.22607789,22.284822,263202000
1/25/2016,22.46784019,22.94006166,22.41587239,22.93780174,207178000
1/26/2016,22.59210587,22.79319558,22.15829446,22.5785498,300308000
1/27/2016,21.10765457,21.83293345,21.08957867,21.69962753,533478800
1/28/2016,21.25903702,21.35619286,20.87493351,21.19125496,222715200
1/29/2016,21.99335098,21.99335098,21.31778005,21.41719579,257666000
